Ref,Val,Package,PosX,PosY,Rot,Side
K12B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-23.8125,0,top
K13B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-23.8125,0,top
K14B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-23.8125,0,top
K15B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-23.8125,0,top
K16B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-23.8125,0,top
K17B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,352.425,-23.8125,0,top
K21B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-42.8625,0,top
K22B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-42.8625,0,top
K23B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-42.8625,0,top
K24B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-42.8625,0,top
K25B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-42.8625,0,top
K26B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-42.8625,0,top
K27B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,352.425,-42.8625,0,top
K28B,KEYSW_RGB,Hybrid_PCB_150H_hotswap_diode_RGB_rot,376.238,-42.8625,0,top
K31B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-61.9125,0,top
K32B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-61.9125,0,top
K33B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-61.9125,0,top
K34B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-61.9125,0,top
K35B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-61.9125,0,top
K36B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-61.9125,0,top
K37B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,352.425,-61.9125,0,top
K38B,KEYSW_RGB,Hybrid_PCB_150H_hotswap_diode_RGB_rot,376.238,-61.9125,0,top
K41B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-80.9625,0,top
K42B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-80.9625,0,top
K43B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-80.9625,0,top
