"Source:","C:\Users\Vlad\Documents\keyboard project\kicad\ortho_half\left\ortho_half.sch"
"Date:","8/18/2020 9:17:31 PM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"","","K45","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K46","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K51","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_150H_hotswap_diode_RGB_rot",""
"","","K52","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K53","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K54","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K55","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K56","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"","","K61","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot",""
"","","K62","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot",""
"","","K63","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot",""
"","","K64","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot",""
"","","K65","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90B",""
"","","K66","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90A",""
"","","R1","R100k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","R2","R100k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","R3","R1k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","R4","R100k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","R5","R1k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","Rext1","R20k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"","","SW1","SW_PUSH_RESET","keyboard_parts:SW_PUSH","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2",""
"","","U1","EliteC","vladkvit_keyb:ProMicro","Keebio-Parts:Elite-C-castellated-24pin-holes",""
"","","U2","IS31FL3733-TQ","Driver_LED:IS31FL3733-TQ","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm","http://www.issi.com/WW/pdf/IS31FL3733.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","6","C1, C2, C3, C4, C5, C6","CP","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","~"
"2","1","J1","AudioJack4","Connector:AudioJack4","vladkvit_keyb:TRRS-PJ-320A","~"
"3","8","J2, J3, J4, J5, J6, J7, J8, J9","Conn_01x01","Connector_Generic:Conn_01x01","vladkvit_keyb:m2.5_hole","~"
